date,close,volume,open,high,low
3/27/2015,113.86,3878710,112.08,114.23,112
3/26/2015,112.37,5406583,113.36,113.43,111.58
3/25/2015,113.68,4724133,115.96,116.61,113.64
3/24/2015,116.15,4018886,116.2,117.83,116.04
3/23/2015,116.07,4094326,117.04,117.75,116.07
3/20/2015,117.49,8442616,115.55,117.99,115.33
3/19/2015,115.16,3538400,116.21,116.43,115.07
3/18/2015,116.08,4773212,115.41,116.42,113.3101
3/17/2015,115.58,3715820,115.45,116.0799,115.14
3/16/2015,116.5,4818109,115.33,116.61,115.32
3/13/2015,114.82,4626684,115.99,116.31,114
3/12/2015,116.1,5741665,113.85,116.46,113.77
3/11/2015,113.07,4356487,112.68,113.8,112.41
3/10/2015,112.56,5684508,113.85,114.34,112.56
3/9/2015,115.25,5350753,114.38,115.48,114.37
3/6/2015,114.45,5168453,115.96,115.96,114
3/5/2015,115.91,4088931,115.23,116.098,115.06
3/4/2015,114.76,3798585,115.39,115.47,114.25
3/3/2015,116.07,3781749,116.11,116.12,114.8
3/2/2015,116.12,5971673,114.86,117.06,114.86
2/27/2015,114.75,5729326,115.19,115.67,114.555
2/26/2015,115.38,5649527,116,116.42,115.2
2/25/2015,116.31,7327196,117.35,117.35,115.85
2/24/2015,116.75,12768260,117.5,117.92,115.13
2/23/2015,112.28,5620773,112.99,113.16,111.8
2/20/2015,112.24,7266499,110.81,112.25,110.05
2/19/2015,110.94,5910566,112.01,112.447,110.635
2/18/2015,111.99,3731011,111.6,112.17,111
2/17/2015,112,6029620,111.69,112.225,110.62
2/13/2015,111.89,5099168,112.01,112.39,111.3
2/12/2015,112.16,4589899,110.81,112.2,110.21
2/11/2015,110.31,4553751,110.6,110.798,109.81
2/10/2015,110.67,5254372,108.79,110.85,108.66
2/9/2015,108.34,3943688,108.88,109.46,108.04
2/6/2015,109.04,4223512,109.28,109.74,108.46
2/5/2015,108.99,4471776,108.98,109.34,108.15
2/4/2015,108.41,6765342,107.09,109,106.75
2/3/2015,107.24,5969710,104.89,107.32,104.81
2/2/2015,104.43,5012100,104.78,105,101.57
1/30/2015,104.42,6998219,106.36,106.86,104.38
1/29/2015,107.62,6529239,105.14,107.74,104.51
